The CPU is at: 14.4% usage
Memory usage: 7529.3/16124 MBs
Storage at: 138.7/237.7 GBs
Network usage at: 567.5 Mbps
Active processes:
     ProcessID: 0 Process Name: System Idle Process
     ProcessID: 4 Process Name: System
     ProcessID: 100 Process Name: powershell.exe
     ProcessID: 140 Process Name: 
     ProcessID: 180 Process Name: Registry
     ProcessID: 208 Process Name: SearchIndexer.exe
     ProcessID: 548 Process Name: wininit.exe
     ProcessID: 556 Process Name: svchost.exe
     ProcessID: 572 Process Name: smss.exe
     ProcessID: 700 Process Name: svchost.exe
     ProcessID: 748 Process Name: ApplicationFrameHost.exe
     ProcessID: 780 Process Name: postgres.exe
     ProcessID: 984 Process Name: csrss.exe
     ProcessID: 1052 Process Name: services.exe
     ProcessID: 1072 Process Name: LsaIso.exe
     ProcessID: 1080 Process Name: lsass.exe
     ProcessID: 1208 Process Name: svchost.exe
     ProcessID: 1240 Process Name: WUDFHost.exe
     ProcessID: 1248 Process Name: fontdrvhost.exe
     ProcessID: 1256 Process Name: svchost.exe
     ProcessID: 1340 Process Name: svchost.exe
     ProcessID: 1392 Process Name: svchost.exe
     ProcessID: 1528 Process Name: WUDFHost.exe
     ProcessID: 1752 Process Name: postgres.exe
     ProcessID: 1804 Process Name: svchost.exe
     ProcessID: 1812 Process Name: svchost.exe
     ProcessID: 1820 Process Name: svchost.exe
     ProcessID: 1852 Process Name: svchost.exe
     ProcessID: 1860 Process Name: svchost.exe
     ProcessID: 1872 Process Name: svchost.exe
     ProcessID: 1972 Process Name: svchost.exe
     ProcessID: 2020 Process Name: svchost.exe
     ProcessID: 2024 Process Name: svchost.exe
     ProcessID: 2060 Process Name: SecurityHealthService.exe
     ProcessID: 2076 Process Name: svchost.exe
     ProcessID: 2096 Process Name: IntelCpHDCPSvc.exe
     ProcessID: 2104 Process Name: svchost.exe
     ProcessID: 2112 Process Name: svchost.exe
     ProcessID: 2164 Process Name: svchost.exe
     ProcessID: 2192 Process Name: svchost.exe
     ProcessID: 2372 Process Name: svchost.exe
     ProcessID: 2384 Process Name: vmcompute.exe
     ProcessID: 2412 Process Name: svchost.exe
     ProcessID: 2440 Process Name: svchost.exe
     ProcessID: 2540 Process Name: IntelCpHeciSvc.exe
     ProcessID: 2552 Process Name: svchost.exe
     ProcessID: 2600 Process Name: TrustedInstaller.exe
     ProcessID: 2644 Process Name: igfxCUIService.exe
     ProcessID: 2916 Process Name: svchost.exe
     ProcessID: 2944 Process Name: svchost.exe
     ProcessID: 3084 Process Name: vmms.exe
     ProcessID: 3152 Process Name: svchost.exe
     ProcessID: 3164 Process Name: svchost.exe
     ProcessID: 3180 Process Name: svchost.exe
     ProcessID: 3216 Process Name: svchost.exe
     ProcessID: 3240 Process Name: ibmpmsvc.exe
     ProcessID: 3248 Process Name: svchost.exe
     ProcessID: 3256 Process Name: LITSSvc.exe
     ProcessID: 3268 Process Name: svchost.exe
     ProcessID: 3276 Process Name: conhost.exe
     ProcessID: 3428 Process Name: svchost.exe
     ProcessID: 3444 Process Name: svchost.exe
     ProcessID: 3500 Process Name: EPDService.exe
     ProcessID: 3508 Process Name: svchost.exe
     ProcessID: 3516 Process Name: svchost.exe
     ProcessID: 3628 Process Name: svchost.exe
     ProcessID: 3644 Process Name: svchost.exe
     ProcessID: 3680 Process Name: MemCompression
     ProcessID: 3852 Process Name: svchost.exe
     ProcessID: 3892 Process Name: svchost.exe
     ProcessID: 3976 Process Name: svchost.exe
     ProcessID: 4008 Process Name: LMS.exe
     ProcessID: 4132 Process Name: svchost.exe
     ProcessID: 4160 Process Name: svchost.exe
     ProcessID: 4236 Process Name: svchost.exe
     ProcessID: 4268 Process Name: SearchHost.exe
     ProcessID: 4272 Process Name: spoolsv.exe
     ProcessID: 4284 Process Name: aesm_service.exe
     ProcessID: 4312 Process Name: svchost.exe
     ProcessID: 4412 Process Name: svchost.exe
     ProcessID: 4456 Process Name: svchost.exe
     ProcessID: 4536 Process Name: svchost.exe
     ProcessID: 4592 Process Name: svchost.exe
     ProcessID: 4596 Process Name: svchost.exe
     ProcessID: 4808 Process Name: pservice.exe
     ProcessID: 4812 Process Name: SmartStandby.exe
     ProcessID: 4816 Process Name: svchost.exe
     ProcessID: 4832 Process Name: svchost.exe
     ProcessID: 4856 Process Name: DAX3API.exe
     ProcessID: 4892 Process Name: svchost.exe
     ProcessID: 4940 Process Name: FMService64.exe
     ProcessID: 5008 Process Name: OneApp.IGCC.WinService.exe
     ProcessID: 5056 Process Name: IntelAudioService.exe
     ProcessID: 5064 Process Name: firefox.exe
     ProcessID: 5148 Process Name: MpDefenderCoreService.exe
     ProcessID: 5160 Process Name: RtkAudUService64.exe
     ProcessID: 5184 Process Name: svchost.exe
     ProcessID: 5216 Process Name: MsMpEng.exe
     ProcessID: 5236 Process Name: ThunderboltService.exe
     ProcessID: 5268 Process Name: svchost.exe
     ProcessID: 5292 Process Name: SynRpcServer.exe
     ProcessID: 5300 Process Name: TbtP2pShortcutService.exe
     ProcessID: 5312 Process Name: Spybot3AntiBeaconService.exe
     ProcessID: 5336 Process Name: svchost.exe
     ProcessID: 5344 Process Name: svchost.exe
     ProcessID: 5376 Process Name: tphkload.exe
     ProcessID: 5392 Process Name: svchost.exe
     ProcessID: 5492 Process Name: WMIRegistrationService.exe
     ProcessID: 5556 Process Name: svchost.exe
     ProcessID: 5608 Process Name: wslservice.exe
     ProcessID: 5692 Process Name: firefox.exe
     ProcessID: 5756 Process Name: SearchProtocolHost.exe
     ProcessID: 5852 Process Name: WUDFHost.exe
     ProcessID: 6100 Process Name: WUDFHost.exe
     ProcessID: 6280 Process Name: ctfmon.exe
     ProcessID: 6520 Process Name: firefox.exe
     ProcessID: 6576 Process Name: WUDFHost.exe
     ProcessID: 6920 Process Name: svchost.exe
     ProcessID: 6964 Process Name: firefox.exe
     ProcessID: 6972 Process Name: WUDFHost.exe
     ProcessID: 6988 Process Name: PowerMgr.exe
     ProcessID: 6992 Process Name: svchost.exe
     ProcessID: 7104 Process Name: svchost.exe
     ProcessID: 7348 Process Name: AggregatorHost.exe
     ProcessID: 7388 Process Name: svchost.exe
     ProcessID: 7540 Process Name: svchost.exe
     ProcessID: 7660 Process Name: esif_uf.exe
     ProcessID: 7664 Process Name: powershell.exe
     ProcessID: 7792 Process Name: jhi_service.exe
     ProcessID: 8052 Process Name: msedgewebview2.exe
     ProcessID: 8096 Process Name: NisSrv.exe
     ProcessID: 8252 Process Name: powershell.exe
     ProcessID: 8300 Process Name: Taskmgr.exe
     ProcessID: 8316 Process Name: svchost.exe
     ProcessID: 8572 Process Name: csrss.exe
     ProcessID: 8756 Process Name: svchost.exe
     ProcessID: 8764 Process Name: svchost.exe
     ProcessID: 8812 Process Name: dwm.exe
     ProcessID: 9004 Process Name: svchost.exe
     ProcessID: 9404 Process Name: svchost.exe
     ProcessID: 9552 Process Name: svchost.exe
     ProcessID: 9592 Process Name: dasHost.exe
     ProcessID: 9668 Process Name: sihost.exe
     ProcessID: 9760 Process Name: Code.exe
     ProcessID: 9892 Process Name: svchost.exe
     ProcessID: 9972 Process Name: postgres.exe
